2014-10-15 07:57:06 startup archives install
2014-10-15 07:57:06 install base-files:amd64 <none> 7.1wheezy6
2014-10-15 07:57:06 status half-installed base-files:amd64 7.1wheezy6
2014-10-15 07:57:06 status unpacked base-files:amd64 7.1wheezy6
2014-10-15 07:57:06 status unpacked base-files:amd64 7.1wheezy6
2014-10-15 07:57:06 install base-passwd:amd64 <none> 3.5.26
2014-10-15 07:57:06 status half-installed base-passwd:amd64 3.5.26
2014-10-15 07:57:06 status unpacked base-passwd:amd64 3.5.26
2014-10-15 07:57:06 status unpacked base-passwd:amd64 3.5.26
2014-10-15 07:57:06 configure base-passwd:amd64 3.5.26 3.5.26
2014-10-15 07:57:06 status unpacked base-passwd:amd64 3.5.26
2014-10-15 07:57:06 status half-configured base-passwd:amd64 3.5.26
2014-10-15 07:57:06 status installed base-passwd:amd64 3.5.26
2014-10-15 07:57:06 configure base-files:amd64 7.1wheezy6 7.1wheezy6
2014-10-15 07:57:06 status unpacked base-files:amd64 7.1wheezy6
2014-10-15 07:57:06 status unpacked base-files:amd64 7.1wheezy6
2014-10-15 07:57:06 status unpacked base-files:amd64 7.1wheezy6
2014-10-15 07:57:06 status unpacked base-files:amd64 7.1wheezy6
2014-10-15 07:57:06 status unpacked base-files:amd64 7.1wheezy6
2014-10-15 07:57:06 status unpacked base-files:amd64 7.1wheezy6
2014-10-15 07:57:06 status unpacked base-files:amd64 7.1wheezy6
2014-10-15 07:57:06 status half-configured base-files:amd64 7.1wheezy6
2014-10-15 07:57:06 status installed base-files:amd64 7.1wheezy6
2014-10-15 07:57:06 startup archives install
2014-10-15 07:57:06 upgrade dpkg 1.16.15 1.16.15
2014-10-15 07:57:06 status half-configured dpkg 1.16.15
2014-10-15 07:57:06 status unpacked dpkg 1.16.15
2014-10-15 07:57:06 status half-installed dpkg 1.16.15
2014-10-15 07:57:06 status half-installed dpkg 1.16.15
2014-10-15 07:57:06 status unpacked dpkg 1.16.15
2014-10-15 07:57:06 status unpacked dpkg 1.16.15
2014-10-15 07:57:06 configure dpkg 1.16.15 1.16.15
2014-10-15 07:57:06 status unpacked dpkg 1.16.15
2014-10-15 07:57:06 status unpacked dpkg 1.16.15
2014-10-15 07:57:06 status unpacked dpkg 1.16.15
2014-10-15 07:57:06 status unpacked dpkg 1.16.15
2014-10-15 07:57:06 status unpacked dpkg 1.16.15
2014-10-15 07:57:06 status half-configured dpkg 1.16.15
2014-10-15 07:57:06 status installed dpkg 1.16.15
2014-10-15 07:57:06 startup archives install
2014-10-15 07:57:07 install libc6:amd64 <none> 2.13-38+deb7u2
2014-10-15 07:57:07 status half-installed libc6:amd64 2.13-38+deb7u2
2014-10-15 07:57:07 status unpacked libc6:amd64 2.13-38+deb7u2
2014-10-15 07:57:07 status unpacked libc6:amd64 2.13-38+deb7u2
2014-10-15 07:57:07 configure libc6:amd64 2.13-38+deb7u2 2.13-38+deb7u2
2014-10-15 07:57:07 status unpacked libc6:amd64 2.13-38+deb7u2
2014-10-15 07:57:07 status unpacked libc6:amd64 2.13-38+deb7u2
2014-10-15 07:57:07 status half-configured libc6:amd64 2.13-38+deb7u2
